date,Blekinge,Dalarna,Gävleborg,Halland,Jämtland,Jönköping,Kalmar,Kronoberg,Norrbotten,Skåne,Stockholm,Södermanland,Uppsala,Värmland,Västernorrland,Västmanland,Västra Götaland,Örebro,Östergötland,Västerbotten,Gotland,compartment
2021-02-01,0,18,22,20,20,16,23,2.7,6,16,27,8,9,12,5,11,24,8,18,NA,NA,mid
2021-02-08,0,18,22,20,20,16,23,2.7,6,16,27,8,9,12,5,11,24,8,18,NA,NA,mid
2021-02-15,3.3,22,45,31,27,35,43,5,14,25,41,22,13,17,19,19,36,31,13,NA,NA,mid
2021-02-22,11,42,60,51,50,39,49,6,11,32,53,37,56,26,40,25,47,40,NA,NA,NA,mid
2021-03-01,50,57,72,58,56,66,71,16,NA,50,66,48,51,46,68,40,57,61,NA,NA,NA,mid
2021-03-08,71,71,83,73,63,84,83,40,48,65,79,67,64,53,77,53,73,73,NA,NA,NA,mid
2021-02-01,0,13,19,18,12,13,18,1.2,4,14,24,6,8,8,3,9,23,5,1,NA,NA,lo
2021-02-08,0,13,19,18,12,13,18,1.2,4,14,24,6,8,8,3,9,23,5,1,NA,NA,lo
2021-02-15,0.4,16,41,28,21,30,36,3,10,24,37,18,8,12,15,14,34,23,8,NA,NA,lo
2021-02-22,6,35,57,57,42,33,43,3,9,30,49,33,46,20,33,20,45,33,NA,NA,NA,lo
2021-03-01,41,52,69,54,50,62,65,12,NA,48,61,43,46,50,62,34,55,54,NA,NA,NA,lo
2021-03-08,63,67,81,70,57,81,78,34,40,62,76,63,59,49,73,48,71,67,NA,NA,NA,lo
2021-02-01,3,25,24,23,30,20,29,5.1,8,17,31,10,13,19,9,15,26,12,23,NA,NA,hi
2021-02-08,3,25,24,23,30,20,29,5.1,8,17,31,10,13,19,9,15,26,12,23,NA,NA,hi
2021-02-15,11.5,28,49,34,34,40,50,8,20,27,45,26,21,23,24,24,37,39,22,NA,NA,hi
2021-02-22,19,50,64,54,58,45,55,9,15,35,58,41,65,33,46,31,48,48,NA,NA,NA,hi
2021-03-01,58,62,75,62,61,71,77,22,NA,53,70,52,57,51,73,46,59,68,NA,NA,NA,hi
2021-03-08,78,75,85,77,69,86,88,46,55,67,81,71,59,58,81,58,74,78,NA,NA,NA,hi
