Study weeks 2020-2021,year,low_95,low_70,median (estimate),high_70,high_95
14,2020,0.0033390554596772547,0.00960374321035633,0.023493932302249994,0.04412690862583524,0.05958682428348632
15,2020,0.012712278307625485,0.02083400765778568,0.031790949071583585,0.04773001059254328,0.060810445864363745
16,2020,0.020863857909081605,0.03015265259744657,0.04028456703510093,0.05156498151290889,0.06205041744598836
17,2020,0.029596325488304202,0.03807512963618892,0.04729171578509,0.056079894654382276,0.065716751371419
18,2020,0.038724093248215845,0.04568132329668715,0.053417974696246665,0.060750160005348205,0.06872520266308588
19,2020,0.045185001838830785,0.05124996407187459,0.05858911074385713,0.06561237191037239,0.07284656740557878
20,2020,0.049239761581462316,0.05555187582059396,0.06282266353995258,0.07042830506310477,0.07735728689583857
21,2020,0.05230821160119149,0.05884359746099966,0.06638705581156717,0.07444832302026419,0.08188740070990604
22,2020,0.055039337974727334,0.062057593034467916,0.06973729947550586,0.07841025342573574,0.08653711268381183
23,2020,0.058346860359618925,0.06518865186282588,0.07307964252505013,0.08281708941509881,0.09113700124667515
24,2020,0.061269238617390163,0.06847801310725743,0.07752808031040656,0.08757002605333167,0.09683696071506256
25,2020,0.06427670545501793,0.07220511244616246,0.08297910852553303,0.09366677139517066,0.10388481189832592
26,2020,0.0676258376814479,0.07658630905863553,0.08869114276980655,0.10115238908959749,0.11087149431640576
27,2020,0.07191170074561247,0.08202252234294112,0.09548369654512895,0.1086922053220778,0.11984951238909226
28,2020,0.0765892444085248,0.08828184575383057,0.10190299263205058,0.11532065453181675,0.12762446336559063
29,2020,0.08248699062262058,0.09406605594728576,0.10819345425636681,0.12208418841813513,0.13340991031956936
30,2020,0.08866540862436324,0.09991754562309664,0.1134206839471166,0.1269301895895609,0.13857135055060515
31,2020,0.09364239207607405,0.10454240268708322,0.11790520983175304,0.13048118079620866,0.14234187765831566
32,2020,0.09800174024221747,0.10856446490034581,0.12146742104110397,0.13376641189225838,0.14581996470289807
33,2020,0.10092340520430212,0.11140704987410506,0.1242858727696971,0.1368334656521397,0.14821128065732994
34,2020,0.10340461939612426,0.11349898714304477,0.12654678244522982,0.13927880068212609,0.15080147888708073
35,2020,0.10492105530120016,0.11536935588303852,0.12870617338370832,0.14198908764688106,0.1531965019784741
36,2020,0.10655443049154936,0.11716305343464783,0.13073792524462147,0.1438829157090977,0.15667597208495349
37,2020,0.10741386384969037,0.11861612232724213,0.13219327736070224,0.14574707075888108,0.15889529323745682
38,2020,0.10891401989482148,0.12022089114626903,0.13355336409439236,0.14741357502099264,0.1612663798261242
39,2020,0.11022287669650546,0.12159000588525838,0.13486318239131878,0.14825559666591526,0.16336419277383654
40,2020,0.11115731445971368,0.12270198438313358,0.13613703498148444,0.14900748338325703,0.1638753885304623
41,2020,0.11200440842431196,0.12398840692216768,0.13741490877951484,0.15013444744870275,0.16534681056571515
42,2020,0.11339854680334018,0.12537755342663387,0.13873609059079933,0.1512426264405482,0.16722001597533906
43,2020,0.11456242091870583,0.12653529419606402,0.14019658577415867,0.15264321329993638,0.16796890123330685
44,2020,0.11637455220578492,0.12817813015287885,0.14150416833363616,0.15413625535107497,0.16870697571998833
45,2020,0.11829464430449525,0.13008034213856723,0.14283586614108573,0.15564738904581285,0.16944829003332623
46,2020,0.1211033533629681,0.1322913303237753,0.14471747190763606,0.15802513995156062,0.17089959428506088
47,2020,0.12345780210518172,0.13467205259295367,0.14720635749703406,0.16013393116052196,0.1736367305628497
48,2020,0.1262317720750556,0.13745188186712853,0.1498147126124575,0.1630598590289109,0.17689975411405118
49,2020,0.12841160649267802,0.1398890096265524,0.15289396077362852,0.16717468792160717,0.18164876888636328
50,2020,0.13073986559273135,0.1426284349668316,0.15640388578103648,0.1717780500828561,0.18866092930111839
51,2020,0.13199423487076292,0.14525808913367358,0.160353367449333,0.1769363083830518,0.19603749861142317
52,2020,0.13364913378121698,0.14829144725935298,0.16430445758153545,0.18311068013675127,0.2018555462574595
53,2020,0.13621097890025385,0.151408860194726,0.16804062459616978,0.18871967375469745,0.2085387889013666
1,2021,0.13884246893541954,0.15396244641958257,0.17191444401251998,0.19292898341023967,0.21460650000839782
2,2021,0.14036580731312345,0.1569922273146257,0.17563472002142577,0.1964572142151993,0.21882177307320894
3,2021,0.14233569621483416,0.1599095810121242,0.17904334850756254,0.20105111173415172,0.2230894200142622
4,2021,0.1441142961851037,0.16146059070676827,0.18242732544071213,0.203949703144342,0.2266345110859648
5,2021,0.14581349502925023,0.1630783980028751,0.185274691409203,0.20718917754432936,0.23083850323265895
6,2021,0.14733033360411732,0.1649611918247367,0.18767444818932083,0.21031111895390442,0.23374710060163145
7,2021,0.14919812168760274,0.1667228718741686,0.1901213778982852,0.21458998419938044,0.23821468779163807
8,2021,0.15066889527618674,0.1685840501654942,0.19240938141564679,0.21753323731028013,0.2439441369433117
